wavelength(nm)  n   k,,(k<1000nm ==> adachi),,,,
303,3.5854,2.263828618,,,,
309,3.501,2.117292017,,,,
314,3.4332,2.020699543,,,,
320,3.3813,1.931382866,,,,
325,3.3403,1.875276959,,,,
331,3.3125,1.825577482,,,,
336,3.2967,1.796374039,,,,
342,3.2883,1.7722589,,,,
348,3.2887,1.757433054,,,,
353,3.2939,1.750277881,,,,
359,3.3088,1.746684055,,,,
364,3.3297,1.746835444,,,,
370,3.3596,1.749511434,,,,
375,3.4041,1.753430034,,,,
381,3.4603,1.759407319,,,,
387,3.5481,1.766157106,,,,
392,3.6534,1.77208833,,,,
398,3.7411,1.7791668,,,,
403,3.8028,1.784840099,,,,
409,3.8687,1.791253003,,,,
414,3.9833,1.796187189,,,,
420,4.1016,1.801963984,,,,
426,4.1892,1.808217738,,,,
431,4.2461,1.81471916,,,,
437,4.2881,1.795622185,,,,
442,4.3179,1.700537768,,,,
448,4.335,1.617457522,,,,
454,4.3384,1.568630066,,,,
459,4.3298,1.535897986,,,,
465,4.3121,1.503491202,,,,
470,4.2935,1.481229031,,,,
476,4.279,1.46069108,,,,
481,4.2734,1.595789038,,,,
487,4.2813,1.65682105,,,,
493,4.3066,1.42898174,,,,
498,4.338,1.281481817,,,,
504,4.3566,1.123428245,,,,
509,4.3557,0.99927547,,,,
515,4.336,0.857865689,,,,
520,4.3075,0.752310133,,,,
526,4.2773,0.737331221,,,,
532,4.2477,0.727942008,,,,
537,4.2185,0.719905496,,,,
543,4.1897,0.710042563,,,,
548,4.1616,0.701661042,,,,
554,4.1344,0.691355257,,,,
560,4.1132,0.680864441,,,,
565,4.0889,0.672016252,,,,
571,4.0677,0.661293957,,,,
576,4.0462,0.652271115,,,,
582,4.0286,0.641360496,,,,
587,4.0082,0.632231302,,,,
593,3.9897,0.621246908,,,,
599,3.9734,0.610234396,,,,
604,3.9585,0.601048605,,,,
610,3.946,0.590015688,,,,
615,3.9308,0.58085006,,,,
621,3.9174,0.569870383,,,,
626,3.9058,0.560763431,,,,
632,3.8949,0.54986709,,,,
638,3.8834,0.539037215,,,,
643,3.8743,0.530072756,,,,
649,3.8632,0.519352434,,,,
654,3.854,0.51052281,,,,
660,3.8439,0.499948558,,,,
665,3.8358,0.491271809,,,,
671,3.8259,0.48087702,,,,
677,3.8205,0.47065724,,,,
682,3.8125,0.462163284,,,,
688,3.804,0.452161512,,,,
693,3.7971,0.443839347,,,,
699,3.7927,0.434067478,,,,
705,3.7833,0.424325458,,,,
710,3.7772,0.416404994,,,,
716,3.7703,0.406900437,,,,
721,3.7664,0.399202909,,,,
727,3.7582,0.389989138,,,,
732,3.7535,0.382468703,,,,
738,3.7459,0.37355919,,,,
744,3.7401,0.364770654,,,,
749,3.7344,0.357623529,,,,
755,3.7316,0.349046979,,,,
760,3.7246,0.342187707,,,,
766,3.7199,0.333971724,,,,
771,3.7139,0.327246647,,,,
777,3.7101,0.319414586,,,,
783,3.7072,0.311582525,,,,
788,3.7002,0.305361325,,,,
794,3.6977,0.297937529,,,,
799,3.6946,0.291789205,,,,
805,3.6891,0.284797565,,,,
811,3.686,0.277805925,,,,
816,3.6841,0.27213159,,,,
822,3.6784,0.265600649,,,,
827,3.6745,0.260158199,,,,
833,3.6699,0.253853314,,,,
838,3.6659,0.248811672,,,,
844,3.662,0.242761702,,,,
850,3.6569,0.236968867,,,,
855,3.6543,0.232354361,,,,
861,3.6495,0.226816954,,,,
866,3.6467,0.222337485,,,,
872,3.6422,0.217340225,,,,
877,3.6362,0.213175841,,,,
883,3.6317,0.20820232,,,,
889,3.6293,0.203774799,,,,
894,3.6246,0.200085198,,,,
900,3.6191,0.195657677,,,,
905,3.6153,0.192283499,,,,
911,3.6133,0.188445552,,,,
917,3.6085,0.184607605,,,,
922,3.6033,0.181444605,,,,
928,3.5981,0.17822939,,,,
933,3.5934,0.175550045,,,,
939,3.5918,0.172334831,,,,
944,3.5889,0.169826317,,,,
950,3.584,0.167263961,,,,
956,3.5794,0.164701604,,,,
961,3.5772,0.162566308,,,,
967,3.5756,0.160325477,,,,
972,3.5715,0.158756246,,,,
978,3.5691,0.156873169,,,,
983,3.5675,0.155303938,,,,
989,3.5638,0.153669123,,,,
995,3.5615,0.152498759,,,,
1000,3.5601,0.151523456,,,,
1006,3.5568,0.150353091,,,,
1011,3.5542,0.149402,,,,
1017,3.5534,0.148958,,,,
1022,3.5528,0.148588,,,,
1028,3.5515,0.148144,,,,
1034,3.5484,0.1477,,,,
1039,3.5459,0.1462,,,,
1045,3.5449,0.1446,,,,
1050,3.5427,0.1435,,,,
1056,3.5395,0.1428,,,,
1062,3.5379,0.1431,,,,
1067,3.5375,0.1427,,,,
1073,3.5371,0.1415,,,,
1078,3.5362,0.1403,,,,
1084,3.5329,0.1393,,,,
1089,3.5305,0.1388,,,,
1095,3.5299,0.1383,,,,
1101,3.5295,0.1376,,,,
1106,3.529,0.1369,,,,
1112,3.5277,0.1363,,,,
1117,3.5247,0.1357,,,,
1123,3.5226,0.1351,,,,
1128,3.5222,0.1341,,,,
1134,3.5219,0.1327,,,,
1140,3.5216,0.1315,,,,
1145,3.5205,0.1305,,,,
1151,3.5178,0.13,,,,
1156,3.5156,0.1297,,,,
1162,3.5148,0.1293,,,,
1168,3.5143,0.1292,,,,
1173,3.5119,0.1298,,,,
1179,3.5093,0.1302,,,,
1184,3.5082,0.1302,,,,
1190,3.508,0.1302,,,,
1195,3.5078,0.1301,,,,
1201,3.5076,0.1298,,,,
1207,3.5075,0.1289,,,,
1212,3.5073,0.1271,,,,
1218,3.5069,0.1251,,,,
1223,3.505,0.1233,,,,
1229,3.5026,0.1223,,,,
1234,3.5009,0.1222,,,,
1240,3.5007,0.122,,,,
1246,3.5006,0.1217,,,,
1251,3.5005,0.1214,,,,
1257,3.5003,0.121,,,,
1262,3.4993,0.1203,,,,
1268,3.4969,0.1199,,,,
1273,3.4948,0.1198,,,,
1279,3.4941,0.1197,,,,
1285,3.4941,0.1194,,,,
1290,3.494,0.1184,,,,
1296,3.4939,0.117,,,,
1301,3.4938,0.116,,,,
1307,3.4938,0.1151,,,,
1313,3.4937,0.1143,,,,
1318,3.4934,0.1137,,,,
1324,3.492,0.1135,,,,
1329,3.4899,0.1131,,,,
1335,3.488,0.1126,,,,
1340,3.4875,0.1119,,,,
1346,3.4875,0.1111,,,,
1352,3.4874,0.1104,,,,
1357,3.4874,0.1097,,,,
1363,3.4874,0.1086,,,,
1368,3.4874,0.1077,,,,
1374,3.4874,0.1074,,,,
1379,3.4873,0.1071,,,,
1385,3.4869,0.1064,,,,
1391,3.4854,0.1057,,,,
1396,3.4835,0.1051,,,,
1402,3.4818,0.1045,,,,
1407,3.4814,0.1039,,,,
1413,3.4814,0.1034,,,,
1419,3.4814,0.1029,,,,
1424,3.4814,0.1027,,,,
1430,3.4815,0.1025,,,,
1435,3.4815,0.1019,,,,
1441,3.4815,0.1015,,,,
1446,3.4816,0.1012,,,,
1452,3.4816,0.1008,,,,
1458,3.4815,0.1002,,,,
1463,3.4799,0.0994,,,,
1469,3.4783,0.0985,,,,
1474,3.4767,0.098,,,,
1480,3.476,0.0973,,,,
1485,3.476,0.0961,,,,
1491,3.4761,0.0951,,,,
1497,3.4762,0.0943,,,,
1502,3.4762,0.0936,,,,
1508,3.4763,0.0929,,,,
1513,3.4764,0.0921,,,,
1519,3.4765,0.0912,,,,
1525,3.4766,0.0908,,,,
1530,3.4767,0.09,,,,
1536,3.4769,0.0885,,,,
1541,3.477,0.0871,,,,
1547,3.4771,0.0861,,,,
1552,3.4772,0.0854,,,,
1558,3.4772,0.0847,,,,
1564,3.4763,0.0841,,,,
1569,3.4749,0.0833,,,,
1575,3.4736,0.0823,,,,
1580,3.4723,0.0812,,,,
1586,3.472,0.08,,,,
1591,3.4722,0.0787,,,,
1597,3.4723,0.0775,,,,
1603,3.4724,0.0761,,,,
1608,3.4724,0.0747,,,,
1614,3.4724,0.0731,,,,
1619,3.4725,0.0714,,,,
1625,3.4725,0.0698,,,,
1630,3.4726,0.0681,,,,
1636,3.4727,0.0661,,,,
1642,3.4727,0.0642,,,,
1647,3.4727,0.0623,,,,
1653,3.4726,0.0598,,,,
1658,3.4725,0.0566,,,,
1664,3.4725,0.0535,,,,
1670,3.4724,0.0503,,,,
1675,3.4722,0.0452,,,,
1681,3.4712,0.0392,,,,
1686,3.4699,0.0338,,,,
1692,3.4685,0.0286,,,,
1697,3.467,0.023,,,,
1703,3.466,0.0177,,,,
1709,3.4657,0.0129,,,,
1714,3.4656,0.0097,,,,
1720,3.4654,0.0078,,,,
1725,3.4653,0.006,,,,
1731,3.4651,0.0041,,,,
1736,3.465,0.0034,,,,
1742,3.4648,0.0027,,,,
1748,3.4646,0.0021,,,,
1753,3.4644,0.0016,,,,
1759,3.4642,0.0014,,,,
1764,3.4641,0.0011,,,,
1770,3.4639,0.0008,,,,
1776,3.4637,0.0004,,,,
1781,3.4635,0.0002,,,,
1787,3.4634,0.0001,,,,
1792,3.4632,0.0001,,,,
1798,3.4631,0.0001,,,,
1803,3.4629,0.0001,,,,
1809,3.4626,0.0001,,,,
1815,3.4614,0,,,,
1820,3.4602,0,,,,
1826,3.4591,0,,,,
1831,3.4579,0,,,,
1837,3.4569,0,,,,
1842,3.4568,0,,,,
1848,3.4567,0,,,,
1854,3.4566,0,,,,
1859,3.4565,0,,,,
1865,3.4564,0,,,,
1870,3.4563,0,,,,
1876,3.4561,0,,,,
1881,3.4559,0,,,,
1887,3.4558,0,,,,
1893,3.4556,0,,,,
1898,3.4555,0,,,,
1904,3.4553,0,,,,
1909,3.4552,0,,,,
1915,3.455,0,,,,
1921,3.4549,0,,,,
1926,3.4549,0,,,,
1932,3.4548,0,,,,
1937,3.4547,0,,,,
1943,3.4547,0,,,,
1948,3.4547,0,,,,
1954,3.4546,0,,,,
1960,3.4546,0,,,,
1965,3.4545,0,,,,
1971,3.4545,0,,,,
