wavelength(nm),n,k (n k<1250nm and >1800nm ==> adachi shifted to fit with NRC data)
303,3.75031373,2.32115549
309,3.66591373,2.174618889
314,3.59811373,2.078026415
320,3.54621373,1.988709738
325,3.50521373,1.932603831
331,3.47741373,1.882904354
336,3.46161373,1.853700911
342,3.45321373,1.829585772
348,3.45361373,1.814759926
353,3.45881373,1.807604753
359,3.47371373,1.804010927
364,3.49461373,1.804162316
370,3.52451373,1.806838306
375,3.56901373,1.810756906
381,3.62521373,1.816734191
387,3.71301373,1.823483978
392,3.81831373,1.829415202
398,3.90601373,1.836493672
403,3.96771373,1.842166971
409,4.03361373,1.848579875
414,4.14821373,1.853514061
420,4.26651373,1.859290856
426,4.35411373,1.86554461
431,4.41101373,1.872046032
437,4.45301373,1.852949057
442,4.48281373,1.75786464
448,4.49991373,1.674784394
454,4.50331373,1.625956938
459,4.49471373,1.593224858
465,4.47701373,1.560818074
470,4.45841373,1.538555903
476,4.44391373,1.518017952
481,4.43831373,1.65311591
487,4.44621373,1.714147922
493,4.47151373,1.486308612
498,4.50291373,1.338808689
504,4.52151373,1.180755117
509,4.52061373,1.056602342
515,4.50091373,0.915192561
520,4.47241373,0.809637005
526,4.44221373,0.794658093
532,4.41261373,0.78526888
537,4.38341373,0.777232368
543,4.35461373,0.767369435
548,4.32651373,0.758987914
554,4.29931373,0.748682129
560,4.27811373,0.738191313
565,4.25381373,0.729343124
571,4.23261373,0.718620829
576,4.21111373,0.709597987
582,4.19351373,0.698687368
587,4.17311373,0.689558174
593,4.15461373,0.67857378
599,4.13831373,0.667561268
604,4.12341373,0.658375477
610,4.11091373,0.64734256
615,4.09571373,0.638176932
621,4.08231373,0.627197255
626,4.07071373,0.618090303
632,4.05981373,0.607193962
638,4.04831373,0.596364087
643,4.03921373,0.587399628
649,4.02811373,0.576679306
654,4.01891373,0.567849682
660,4.00881373,0.55727543
665,4.00071373,0.548598681
671,3.99081373,0.538203892
677,3.98541373,0.527984112
682,3.97741373,0.519490156
688,3.96891373,0.509488384
693,3.96201373,0.501166219
699,3.95761373,0.49139435
705,3.94821373,0.48165233
710,3.94211373,0.473731866
716,3.93521373,0.464227309
721,3.93131373,0.456529781
727,3.92311373,0.44731601
732,3.91841373,0.439795575
738,3.91081373,0.430886062
744,3.90501373,0.422097526
749,3.89931373,0.414950401
755,3.89651373,0.406373851
760,3.88951373,0.399514579
766,3.88481373,0.391298596
771,3.87881373,0.384573519
777,3.87501373,0.376741458
783,3.87211373,0.368909397
788,3.86511373,0.362688197
794,3.86261373,0.355264401
799,3.85951373,0.349116077
805,3.85401373,0.342124437
811,3.85091373,0.335132797
816,3.84901373,0.329458462
822,3.84331373,0.322927521
827,3.83941373,0.317485071
833,3.83481373,0.311180186
838,3.83081373,0.306138544
844,3.82691373,0.300088574
850,3.82181373,0.294295739
855,3.81921373,0.289681233
861,3.81441373,0.284143826
866,3.81161373,0.279664357
872,3.80711373,0.274667097
877,3.80111373,0.270502713
883,3.79661373,0.265529192
889,3.79421373,0.261101671
894,3.78951373,0.25741207
900,3.78401373,0.252984549
905,3.78021373,0.249610371
911,3.77821373,0.245772424
917,3.77341373,0.241934477
922,3.76821373,0.238771477
928,3.76301373,0.235556262
933,3.75831373,0.232876917
939,3.75671373,0.229661703
944,3.75381373,0.227153189
950,3.74891373,0.224590833
956,3.74431373,0.222028476
961,3.74211373,0.21989318
967,3.74051373,0.217652349
972,3.73641373,0.216083118
978,3.73401373,0.214200041
983,3.73241373,0.21263081
989,3.72871373,0.210995995
995,3.72641373,0.209825631
1000,3.72501373,0.208850328
1006,3.72171373,0.207679963
1011,3.71911373,0.206728872
1017,3.71831373,0.206284872
1022,3.71771373,0.205914872
1028,3.71641373,0.205470872
1034,3.71331373,0.205026872
1039,3.71081373,0.203526872
1045,3.70981373,0.201926872
1050,3.70761373,0.200826872
1056,3.70441373,0.200126872
1062,3.70281373,0.200426872
1067,3.70241373,0.200026872
1073,3.70201373,0.198826872
1078,3.70111373,0.197626872
1084,3.69781373,0.196626872
1089,3.69541373,0.196126872
1095,3.69481373,0.195626872
1101,3.69441373,0.194926872
1106,3.69391373,0.194226872
1112,3.69261373,0.193626872
1117,3.68961373,0.193026872
1123,3.68751373,0.192426872
1128,3.68711373,0.191426872
1134,3.68681373,0.190026872
1140,3.68651373,0.188826872
1145,3.68541373,0.187826872
1151,3.68271373,0.187326872
1156,3.68051373,0.187026872
1162,3.67971373,0.186626872
1168,3.67921373,0.186526872
1173,3.67681373,0.187126872
1179,3.67421373,0.187526872
1184,3.67311373,0.187526872
1190,3.67291373,0.187526872
1195,3.67271373,0.187426872
1201,3.67251373,0.187126872
1207,3.67241373,0.186226872
1212,3.67221373,0.184426872
1218,3.67181373,0.182426872
1223,3.66991373,0.180626872
1229,3.66751373,0.179626872
1234,3.66581373,0.179526872
1240,3.66561373,0.179326872
1246,3.66551373,0.179026872
1250,3.66541373,0.178726872
1260,3.66372116,0.176017038
1270,3.66210433,0.17334443
1280,3.66055647,0.170707302
1290,3.65907178,0.168104441
1300,3.65764676,0.165534807
1310,3.6562779,0.162997517
1320,3.65496251,0.160491732
1330,3.65369851,0.158016633
1340,3.65248418,0.155571438
1460,3.64162851,0.12830051
1470,3.64105562,0.126182327
1480,3.64054408,0.124086227
1490,3.64009931,0.122012329
1500,3.63972475,0.119961094
1510,3.63943084,0.117933057
1520,3.63922689,0.115929147
1530,3.6391264,0.113950525
1540,3.63914581,0.111998638
1550,3.6393083,0.110075023
1560,3.63964488,0.10818102
1570,3.64020045,0.106316388
1580,3.6410416,0.104474889
1590,3.64226737,0.102631705
1600,3.64401902,0.100714898
1610,3.64646844,0.098556024
1620,3.64976301,0.095832338
1630,3.65390465,0.092044759
1640,3.65859691,0.086595641
1650,3.66315038,0.078998099
1660,3.66655831,0.069153354
1670,3.66777966,0.057540939
1680,3.66611334,0.045175171
1690,3.66147132,0.033311966
1700,3.65439601,0.023048527
1710,3.64582682,0.015018936
1720,3.63676299,0.00931312
1730,3.6279878,0.005605227
1740,3.61995333,0.00337721
1750,3.61281249,0.002115913
1760,3.60652301,0.001421726
1770,3.60095745,0.00103218
1780,3.59597393,0.000796812
1790,3.59144988,0.000638499
1800,3.58729328,0.000521004
1803,3.58709328,0.000521004
1809,3.58679328,0.000521004
1815,3.58559328,0
1820,3.58439328,0
1826,3.58329328,0
1831,3.58209328,0
1837,3.58109328,0
1842,3.58099328,0
1848,3.58089328,0
1854,3.58079328,0
1859,3.58069328,0
1865,3.58059328,0
1870,3.58049328,0
1876,3.58029328,0
1881,3.58009328,0
1887,3.57999328,0
1893,3.57979328,0
1898,3.57969328,0
1904,3.57949328,0
1909,3.57939328,0
1915,3.57919328,0
1921,3.57909328,0
1926,3.57909328,0
1932,3.57899328,0
1937,3.57889328,0
1943,3.57889328,0
1948,3.57889328,0
1954,3.57879328,0
1960,3.57879328,0
1965,3.57869328,0
1971,3.57869328,0
